include,name,country,substrate,category,description_es,microbiota,source_ref
yes,Ergo,Ethiopia,Milk,fermento_lactico,Fermento tradicional del Este de África (Ethiopia); materia prima: Milk.,,Food Sci Nutr. (2025) PMC11877266 — Admasu et al. (2016)
yes,Ittitu,Ethiopia,Milk,fermento_lactico,Fermento tradicional del Este de África (Ethiopia); materia prima: Milk.,,Food Sci Nutr. (2025) PMC11877266 — Hussien et al. (2021)
yes,Ayib (traditional cottage cheese),Ethiopia,Milk,fermento_lactico,Fermento tradicional del Este de África (Ethiopia); materia prima: Milk.,,Food Sci Nutr. (2025) PMC11877266 — Ashenafi (2006)
yes,Dhanaan,Ethiopia,Camel milk,fermento_lactico,Fermento tradicional del Este de África (Ethiopia); materia prima: Camel milk.,,Food Sci Nutr. (2025) PMC11877266 — Karssa et al. (2024)
yes,Suusac,"Kenya, Somalia Ethiopia",Camel milk,fermento_lactico,"Fermento tradicional del Este de África (Kenya, Somalia Ethiopia); materia prima: Camel milk.",,Food Sci Nutr. (2025) PMC11877266 — Farah et al. (2007); Berhe et al. (2017)
yes,Qibe (traditional butter),Ethiopia,Milk,fermento_lactico,Fermento tradicional del Este de África (Ethiopia); materia prima: Milk.,,Food Sci Nutr. (2025) PMC11877266 — Gonfa et al. (2001)
yes,Neter Qibe (traditional ghee),Ethiopia,Milk,fermento_lactico,Fermento tradicional del Este de África (Ethiopia); materia prima: Milk.,,Food Sci Nutr. (2025) PMC11877266 — Gonfa et al. (2001)
yes,Mursik,Kenya,Milk,fermento_lactico,Fermento tradicional del Este de África (Kenya); materia prima: Milk.,,Food Sci Nutr. (2025) PMC11877266 — Nieminen et al. (2013)
yes,Amabere,Kenya,Milk,fermento_lactico,Fermento tradicional del Este de África (Kenya); materia prima: Milk.,,Food Sci Nutr. (2025) PMC11877266 — Nyambane et al. (2014)
yes,Kule‐naoto,Kenya,Milk,fermento_lactico,Fermento tradicional del Este de África (Kenya); materia prima: Milk.,,Food Sci Nutr. (2025) PMC11877266 — Mathara et al. (2004)
yes,Maziwa lala,"Kenya, Uganda, Tanzania",Milk,fermento_lactico,"Fermento tradicional del Este de África (Kenya, Uganda, Tanzania); materia prima: Milk.",,Food Sci Nutr. (2025) PMC11877266 — Bille et al. (2000)
yes,Kwerionik,Uganda,Milk,fermento_lactico,Fermento tradicional del Este de África (Uganda); materia prima: Milk.,,Food Sci Nutr. (2025) PMC11877266 — Nakavuma et al. (2012)
yes,Injera,"Ethiopia, Eritrea",Teff or sorghum,fermento_cereal,"Fermento tradicional del Este de África (Ethiopia, Eritrea); materia prima: Teff or sorghum.",,Food Sci Nutr. (2025) PMC11877266 — Mohammed et al. (2011)
yes,Kotcho,Ethiopia,Enset/false banana,fermento_cereal,Fermento tradicional del Este de África (Ethiopia); materia prima: Enset/false banana.,,Food Sci Nutr. (2025) PMC11877266 — Hunduma and Ashenafi (2011)
