include,name,country,substrate,category,description_es,microbiota,source_ref
yes,Mawè,Benin,"Maize, sorghum millet",fermento_cereal,"Fermento africano sobre Maize, sorghum millet; microbiota láctica documentada.","L. fermentum, L. brevis, L. curvatus, L. buchneri, Weissella confusa, Pedicoccus pentosaceus, Candida krusei, Candida kefyr, Candida glabrata, Saccharomyces cerevisiae",Microorganisms (2022) PMC8857253
yes,Uji,"Benin, Nigeria","Maize, sorghum millet",fermento_cereal,"Fermento africano sobre Maize, sorghum millet; microbiota láctica documentada.","L. plantarum, L. fermentum, L. cellobiosus, L. buchneri, Ped. acidilactici, Ped. pentosaceus, S. cerevisiae, Rhodotorula graminis, Candida krusei, Candida tropicalis, Geotrichum candidum, Geotrichum fermentum",Microorganisms (2022) PMC8857253
yes,Ogi,"Benin, Nigeria","Maize, sorghum millet",fermento_cereal,"Fermento africano sobre Maize, sorghum millet; microbiota láctica documentada.","L. plantarum, L. fermentum, L. cellobiosus, L. buchneri, Ped. acidilactici, Ped. pentosaceus, S. cerevisiae, Rhodotorula graminis, Candida krusei, Candida tropicalis, Geotrichum candidum, Geotrichum fermentum",Microorganisms (2022) PMC8857253
yes,Ben-saalga,Burkina Faso,Millet,fermento_cereal,Fermento africano sobre Millet; microbiota láctica documentada.,"L. fermentum, L. plantarum, Ped. pentosaceus",Microorganisms (2022) PMC8857253
yes,Gari,Nigeria,Cassava,fermento_cereal,Fermento africano sobre Cassava; microbiota láctica documentada.,"L. fermentum, L. plantarum, W. confusa, S. cerevisiae, Pichia scutulata, Kluyveromyces marxianus, Hansenia guilliermondii, Leuconostoc fallax",Microorganisms (2022) PMC8857253
check,kule naoto Amasi Ergo,Kenya South Africa Zimbabwe,Milk,fermento_lactico,Fermento africano sobre Milk; microbiota láctica documentada.,"L. fermentum, L. paracasei, L. acidophilus",Microorganisms (2022) PMC8857253
yes,Mahewu (magou),South Africa,"Maize, sorghum millet",fermento_cereal,"Fermento africano sobre Maize, sorghum millet; microbiota láctica documentada.",L. delbrueckii subsp. bulgaricus; L. delbrueckii subsp. delbrueckii; Leuconostoc spp.; heterofermentative lactobacilli,Microorganisms (2022) PMC8857253
yes,Kunu-zaki,Nigeria,"Millet, sorghum",fermento_cereal,"Fermento africano sobre Millet, sorghum; microbiota láctica documentada.","L. fermentum, Ped. pentosaceus, W. confusa, Ent. faecalis",Microorganisms (2022) PMC8857253
yes,Fufu,Nigeria,Cassava,fermento_cereal,Fermento africano sobre Cassava; microbiota láctica documentada.,"Ped. pentosaceus, L. fermentum, L. plantarum",Microorganisms (2022) PMC8857253
yes,Agbelima,Ghana,Cassava,fermento_cereal,Fermento africano sobre Cassava; microbiota láctica documentada.,"L. plantarum, L. brevis, L. fermentum, Leuc. mesenteroides, Bacillus spp., C. tropicalis, G. candidum, Penicillium spp.",Microorganisms (2022) PMC8857253
yes,Mafi,Namibia,Cow milk,fermento_lactico,Fermento africano sobre Cow milk; microbiota láctica documentada.,"Lc. lactis subsp. lactis; L. delbrueckii subsp. lactis; L. plantarum, Leuc. mesenteroides subsp. dextranicum",Microorganisms (2022) PMC8857253
yes,Leben,Morocco,Cow milk,fermento_lactico,Fermento africano sobre Cow milk; microbiota láctica documentada.,"Lc lactis subsp. lactis; Lc. lactis subsp. Lactis biovardiacetylactis; Kluyveromyces lactis, S. cerevisiae, E. faecalis, L. brevis, Lc. lactis subsp. cremoris; Leuc. lactis, Leuc. mesenteroides subsp. dextranicum",Microorganisms (2022) PMC8857253
yes,Amabere amaruranu,Kenya,Cow milk,fermento_lactico,Fermento africano sobre Cow milk; microbiota láctica documentada.,"L. fermentum, L. paracasei, L. acidophilus, Lc. lactis subsp. lactis; S. cerevisiae, E. faecalis, Lb. brevis, Lc. lactis subsp. cremoris",Microorganisms (2022) PMC8857253
