include,name,country,substrate,category,description_es,microbiota,source_ref,
yes,Kassiri,"Guyana, Surinam",hojas de yuca amarga,fermento_lactico,Hoja de yuca amarga fermentada por los pueblos indígenas de la Guayana,usada como aromatizante.,,['Foods (2022) 11:1854 (Ecuador/Amazonía review); Tamang & Samuel']
yes,Parakari,Guyana (Wapishana),yuca amarga + raíz de batata/batata,fermento_alcoholico,Bebida fermentada indígena guyanesa con amilasas de batata.,,Henkel (2005) J. Ethno-pharmacol.; Tamang,
yes,Caxiri,Brasil,yuca mandioca,fermento_alcoholico,Bebida amilácea amazónica producida por masticación.,,Foods (2022) 11:1854,
yes,Paiwari,Brasil,yuca,fermento_alcoholico,Fermento de yuca amazónico.,,Tamang & Samuel compilations,
yes,Masato,Perú (Amazonía),yuca,fermento_alcoholico,Bebida fermentada de yuca mascada del Amazonas.,,Foods (2022) 11:1854,
yes,Uítupu,Costa Rica,maíz,fermento_alcoholico,Bebida fermentada de maíz de los bribri costarricenses.,,Foods (2022) 11:1854,
yes,Chicha de pinol,Costa Rica,maíz tostado y canela,fermento_lactico,Fermento de maíz con canela/clavo centroamericano.,,Foods (2022) 11:1854,
yes,Juana,Guatemala,maíz mote,fermento_mixto,Bebida ceremonial de maíz de tradición maya guatemalteca.,,Foods (2022) 11:1854,
yes,Tejate,México (Oaxaca),masa de maíz + cacao + flor,fermento_mixto,Bebida maya zapoteca de maíz y flor de cacao,de fermentación láctica.,,['Tamang & Samuel']
yes,Fermented cocoa beans (tradición),México (Tabasco) y República Dominicana,granos de cacao,fermento_mixto,Fermentación poscosecha del grano de cacao (criollo).,,Tamang & Samuel,
yes,Jamaican pepper sauce,Jamaica,chiles habaneros y vinagre,encurtido_vinagre,Encurtido picante fermentado del Caribe inglés.,,DLC Caribe (manual curado),
yes,Mabi (maa bi),Puerto Rico y República Dominicana,corteza de maibi (Colubrina) y azúcar,fermento_lactico,Refresco fermentado de corteza de maibi.,,Foods (2022) 11:1854,
yes,Cassava beer (mabbi),"Trinidad y Tobago, Guyana",raíz de yuca y azúcar,fermento_alcoholico,Bebida fermentada de yuca caribeña.,,Foods (2022) 11:1854,
yes,Ginger beer viva,Jamaica,jengibre y azúcar,fermento_lactico,Cerveza de jengibre viva caribeña con madre de ginger bug.,,DLC Caribe (manual curado),
yes,Saltfish encurtido (bacalao),Bahamas,Bacalao y limón,curado_sal,Bacalao salado en salmuera tradicional.,,DLC Caribe (manual curado),
yes,Tepache con piña,México,piña y piloncillo,fermento_alcoholico,Bebida fermentada ligera de piña muy difundida.,,Tamang & Samuel,
yes,Colonche,México (centro),tuna roja (pitahaya dulce),fermento_alcoholico,Vino de tuna de raíces prehispánicas.,,ICBF / Tamang,
yes,Tesgüino,México (Sierra Tarahumara),maíz germinado,fermento_alcoholico,Bebida ceremonial de maíz de los rarámuri.,,Foods (2022) 11:1854,
yes,Sangorochi,México,maíz nixtamalizado,fermento_lactico,Atol fermentado de maíz del centro de México.,,Tamang & Samuel,
yes,Junte/Karay Mx,México,maíz fermentado,fermento_lactico,Fermento de maíz tipo atol de Puebla.,,Tamang & Samuel,
yes,Tocosh,Perú (Ancash),papa cocida en poza andina,fermento_mixto,Papa fermentada en pozos de agua dulce,uso medicinal inca.,,['Foods (2022) 11:1854; Tamang']
yes,Chicha de siete granos,Bolivia,cereales y miel,fermento_alcoholico,Bebida fermentada andina de granos variados.,,Foods (2022) 11:1854,
yes,Chicha morada fermentada,Perú,maíz morado,fermento_alcoholico,Variante fermentada de la chicha morada.,,Foods (2022) 11:1854,
yes,Guarapo de caña,Colombia y Venezuela,jugo de caña de azúcar,fermento_alcoholico,Bebida fermentada de caña.,,Foods (2022) 11:1854,
yes,Chicha de chonta,Ecuador (Amazonía),palmito de chonta,fermento_alcoholico,Bebida fermentada del fruto/palmito de chonta.,,Foods (2022) 11:1854,
yes,Tepache de col agria,México (norte),repollo,encurtido_fermentado,Col agria casera de Sonora/Chihuahua.,,ICBF (manual curado),
yes,Queso Oaxaca (asadero),México,leche de vaca,fermento_lactico,Queso de pasta estirada de Oaxaca.,,Colegio de Postgraduados 2021,
yes,Queso Cotija,México,leche de vaca cruda,fermento_lactico,Queso añejado mexicano de curado seco.,,Colegio de Postgraduados 2021,
yes,Queso añejo de Chiapas,México (Chiapas),leche de vaca,fermento_lactico,Queso cremoso añejo chiapaneco.,,Colegio de Postgraduados 2021,
yes,Queso Panela,México,leche de vaca pasteurizada,fermento_lactico,Queso fresco de mesa mexicano.,,Colegio de Postgraduados 2021,
yes,Queso Chihuahua,México,leche de vaca,fermento_lactico,Queso semiduro estilo menonita norteño.,,Colegio de Postgraduados 2021,
yes,Chicha de guanábana,Perú (selva),guanábana,fermento_alcoholico,Bebida fermentada de guanábana.,,Foods (2022) 11:1854,
yes,Queso fresco de hebra,México,leche de vaca,fermento_lactico,Hilado de queso en salmuera caliente (Oaxaca).,,Colegio de Postgraduados 2021,
yes,Queso Crema de Pijijiapan,México (Chiapas),leche de vaca,fermento_lactico,Queso cremoso de Pijijiapan.,,Colegio de Postgraduados 2021,
