include,name,country,substrate,category,description_es,microbiota,source_ref
yes,Chicha de jora,"Perú, Ecuador, Bolivia",maíz malteado,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Chicha de cassava,"Ecuador (Amazonía), Brasil",yuca mascada,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Chicha de Yamor,Ecuador (Otavalo),siete maíces,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Champús,"Ecuador, Colombia",maíz + frutas + panela,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Chaguarmishqui,Ecuador,savia de agave fermentada,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Pulque,México,aguamiel de maguey,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Tesgüino,México (Sierra Tarahumara),maíz germinado,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Guarapo,"Colombia, Venezuela",panela/jugo de caña,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Caxiri,Brasil (Amazonía),yuca,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Cauim,Brasil (indígena),yuca/arroz,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
yes,Chontaduro fermentado,"Ecuador, Colombia",durazno de palma,fermento_alcoholico,Fermento tradicional prehispánico/colonial latinoamericano.,,Foods (2022) 11:1854 Ecuador review; Tamang & Samuel compilations
