include,name,country,substrate,category,description_es,microbiota,source_ref
yes,Queso Crema de Chiapas,México (Chiapas),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Bola de Ocosingo,México (Chiapas),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Quesillo de la Costa de Chiapas,México (Chiapas),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Quesillo del Norte de Chiapas,México (Chiapas),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Poro de Tabasco,México (Tabasco),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Añejo de Zacatecas,México (Zacatecas),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Menonita (Chihuahua),México (Chihuahua),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso de la Sierra (Durango),México (Durango),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Oaxaca de Aculco,México (Estado de México),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Chapingo,México (Estado de México),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Panela de Chapingo,México (Estado de México),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Ranchero,México (Estado de México),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Botanero,México (Estado de México),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Queso Añejo de Zacazonapan,México (Estado de México),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
yes,Adobera de Los Altos,México (Jalisco),leche cruda de vaca (artesanal),fermento_lactico,Queso artesanal mexicano genuino documentado por el Colegio de Postgraduados.,,"Atlas/Curso Quesos Artesanales Mexicanos, Colegio de Postgraduados"
