include,name,country,substrate,category,description_es,microbiota,source_ref
yes,Masi (Samoa),Samoa,fruta de pan entera o pelada,encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Ma mei,Tonga,fruta de pan,encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Ma kape,Tonga,taró Alocasia,encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Ma hopa,Tonga,plátano,encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Bwiru,Islas Marshall,fruta de pan en pit,encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Davuke,Fiyi,fruta de pan/taro/yuca en pit,encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Maa (Marquesas),Polinesia Francesa,fruta de pan,encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Poi 'ulu,Hawái,fruta de pan cocida machacada,encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Poi (taro),Hawái,taró Colocasia,encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Kānga pirau,Nueva Zelanda,maíz fermentado (maorí),encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
yes,Anuta pit ferment,Islas Salomón/Anuta,"taró, yuca, plátano",encurtido_fermentado,Fermentación en fosas tradicional del Pacífico (lacto-fermentación anaerobia).,,Pollock (1984) JSO; Atchley & Cox (1985); Aalbersberg (1988)
